nimi_suomi,nimi_ruotsi,x,y,kunta
Aviapolis,Aviapolis,25497583.61,6688010.58,Vantaa
Kivistön asema,,25491576.0,6689148.0,Vantaa
Aviapoliksen asema,Aviapolis station,25497575.0,6687991.0,Vantaa
Lentoaseman asema,,25498347.0,6689429.0,Vantaa
Beryllikuja,Beryllgränden,25491542.0,6688736.0,Vantaa
Ilmakehä,Luftleden,25499349.35,6687649.708,Vantaa
Metsätie,Skogsvägen,25505578.23,6683024.391,Vantaa
Sumppukuja,Sumpgränden,25507549.23,6693569.466,Vantaa
Aviabulevardi,Aviabulevarden,25497543.37,6687794.009,Vantaa
Karpinevä,Karpfenan,25507612.0,6693581.0,Vantaa
Teletie,Televägen,25498093.3,6689134.761,Vantaa
Kivistön puistokatu,Kivistöallén,25491855.0,6689101.0,Vantaa
Lentäjäntie,Pilotvägen,25498176.58,6689288.548,Vantaa
Ratakuja,Bangränden,25502388.0,6686819.0,Vantaa
Kuohukuja,Svallgränden,25491503.92,6684309.472,Vantaa
Pohjoinen Nikinmäentie,Norra Nissbackavägen,25507344.0,6692734.0,Vantaa
Avaintie,Nyckelvägen,25490380.75,6684202.885,Vantaa
Ilmailutie,Luftfartsvägen,25498190.4,6688862.598,Vantaa
Päivänkakkarantie,Prästkragsvägen,25500032.0,6686290.0,Vantaa
Kiitoradankuja,Startbanegränden,25499339.02,6687839.837,Vantaa
Vihertie,Grönvägen,25492658.0,6684977.0,Vantaa
Valkoisenlähteentie,Vitbäcksvägen,25503691.0,6687544.0,Vantaa
Hukantie,Vargvägen,25505049.0,6694396.0,Vantaa
Robert Huberin tie,Robert Hubers väg,25497932.0,6686909.0,Vantaa
Väritehtaankatu,Färgfabriksgatan,25502700.0,6686609.0,Vantaa
Fazerintie,Fazersvägen,25506557.85,6682900.168,Vantaa
Lahdentie,Lahtisvägen,25505733.0,6685807.0,Vantaa
Martinlaaksontie,Mårtensdalsvägen,25491684.0,6684900.0,Vantaa
Ratatie,Banvägen,25502417.41,6686785.551,Vantaa
Tietotie,Datavägen,25497876.0,6688449.0,Vantaa
Karppitie,Karpvägen,25507602.0,6693512.0,Vantaa
Kuussillantie,Sexbrovägen,25505018.0,6683293.0,Vantaa
Asematie,Stationsvägen,25502360.78,6686633.663,Vantaa
Lehtorinne,Lehtorinne,25508092.0,6686081.0,Vantaa
Lentoasemantie,Flygstationsvägen,25498217.5,6689385.763,Vantaa
Vaskivuorentie,Kopparbergsvägen,25491974.54,6683461.849,Vantaa
Aviakuja,Aviagränden,25497557.69,6687909.348,Vantaa
Vehkapolku,Missnestigen,25502249.96,6686721.84,Vantaa
Maratontie,Maratonvägen,25505447.0,6681927.0,Vantaa
Jönsaksentie,Jönsasvägen,25492077.61,6683205.349,Vantaa
Markkatie,Markvägen,25497869.0,6687396.0,Vantaa
Myyrmäenraitti,Myrbackaleden,25491830.82,6683306.549,Vantaa
Tikkurilantie,Dickursbyvägen,25504428.15,6686109.239,Vantaa
Äyriäisenkuja,Räkgränden,25507131.0,6691456.0,Vantaa
Turbiinitie,Turbinvägen,25497304.0,6687790.0,Vantaa
Hakunilantie,Håkansbölevägen,25506414.74,6685370.961,Vantaa
Köyhämäentie,Fattigbackavägen,25499462.0,6686678.0,Vantaa
Kiurunkierto,Sånglärksringen,25503264.02,6694109.753,Vantaa
TOLKINKYLÄNKUJA,TOLKBYGRÄNDEN,25495950.16,6685208.637,Vantaa
Aisaparinkuja,Parhästgränden,25488289.82,6681724.578,Vantaa
Länsimäentie,Västerkullavägen,25506209.43,6682852.1,Vantaa
Nuorapuisto,Snörparken,25492168.95,6682777.444,Vantaa
Topaasiaukio,Topasplatsen,25491597.52,6689138.724,Vantaa
Ketjutie,Kedjevägen,25492519.0,6682474.0,Vantaa
Rosendalinkuja,Rosendalsgränden,25498172.02,6683994.156,Vantaa
Talvitie,Vintervägen,25494966.79,6694205.801,Vantaa
Linnunradankuja,Vintergatsgränden,25504230.16,6692352.993,Vantaa
Hellepolku,Solgasstigen,25494945.93,6694235.388,Vantaa
Emännänkuja,Husmorsgränden,25492905.82,6685542.086,Vantaa
Palokunnanmäki,Brandkårsbacken,25501947.04,6687393.139,Vantaa
Rajakentänkuja,Råbyplansgränden,25506038.65,6681562.911,Vantaa
Pengerkuja,Terrassgränden,25487119.99,6691037.789,Vantaa
Ritaripolku,Riddarstigen,25491996.71,6690460.327,Vantaa
Pengerpolku,Terrasstigen,25486740.55,6690791.811,Vantaa
Saaliskuja,Jaktbytesgränden,25495410.0,6686751.0,Vantaa
